"plays","downloads","loads","finishes","likes","comments","uri","name","duration","created_time","sizes","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
117,0,226,19,0,0,/videos/417999322,"Tale, then jelly, then laughing duck, you play, pets and something new | Tereza Chudáčková | 2019",320,2020-05-13T11:54:25+00:00,Array,142,58,185,21706,37552,90
110,0,1527,18,0,0,/videos/400954040,Malá,593,2020-03-26T13:17:38+00:00,Array,775,65,288,31722,65230,84
104,0,170,10,0,0,/videos/316565495,"Daughter | Daria Kashcheeva | 2019",891,2019-02-11T15:17:08+00:00,Array,94,65,569,59210,92664,79
85,4,123,5,0,0,/videos/342374005,"Don't Be a Pussy | Jakub Jirásek | 2019",1194,2019-06-14T22:45:11+00:00,Array,79,77,926,78764,101490,71
73,0,115,11,0,0,/videos/307354084,"One hundred and twenty-eight thousand - Official trailer",51,2018-12-19T20:56:23+00:00,Array,70,72,30,2248,3784,61
67,0,107,39,0,0,/videos/305482814,"Nevím, kaluže - Official trailer",20,2018-12-10T12:47:48+00:00,Array,61,89,14,953,1393,51
66,0,100,35,0,0,/videos/417984949,"Must be painful - Offcial trailer",56,2020-05-13T11:01:37+00:00,Array,76,63,32,2163,3696,63
64,0,124,2,0,0,/videos/417969364,McClellanville,276,2020-05-13T10:02:22+00:00,Array,39,41,63,4034,17664,28
53,0,71,2,0,0,/videos/417961210,"Kdo s koho",439,2020-05-13T09:31:59+00:00,Array,39,24,58,3112,23267,30
52,0,3683,13,0,0,/videos/221418770,"FAMU - spot",40,2017-06-13T12:47:36+00:00,Array,328,70,16,851,2080,27
49,0,78,1,0,0,/videos/417964303,"mr_cock_your such a nice girl",685,2020-05-13T09:43:51+00:00,Array,39,17,79,3889,33597,29
47,0,82,17,0,0,/videos/298474091,"Apart - Official trailer",54,2018-11-01T21:27:12+00:00,Array,45,77,36,1692,2576,39
46,0,1163,14,0,0,/videos/384516020,"Daughter - Oscar nomination",41,2020-01-13T13:41:53+00:00,Array,267,75,20,923,1916,34
45,0,73,15,0,0,/videos/311422007,"Hide 'n' Seek | Bára Halířová | 2019",416,2019-01-15T10:37:42+00:00,Array,49,84,310,13992,18720,42
44,0,77,5,0,0,/videos/420012075,"Ezra final",263,2020-05-18T18:09:29+00:00,Array,40,35,61,2701,11602,27
39,0,66,10,0,0,/videos/399217198,"Věra Chytilová for FAMUFEST 2009",36,2020-03-20T17:01:04+00:00,Array,36,69,14,562,1425,29
38,0,54,11,0,0,/videos/300966741,"Playing | Lun Sevnik | 2019",1325,2018-11-15T11:52:49+00:00,Array,31,74,959,36478,50386,30
35,0,57,3,0,0,/videos/345630575,"Noctuelle | Martin A. Pertlíček | 2019",612,2019-07-02T06:54:14+00:00,Array,40,77,473,16565,21454,35
35,0,66,3,0,0,/videos/417712795,"Tekoucí dům",617,2020-05-12T17:46:44+00:00,Array,33,46,154,5411,21614,23
30,0,113,4,0,0,/videos/385230763,"Three voices - Official trailer",69,2020-01-16T12:22:24+00:00,Array,26,51,22,683,2088,22
29,0,55,11,1,0,/videos/402165395,"S P A C E S - Official trailer",63,2020-03-30T12:47:22+00:00,Array,30,70,34,991,1848,22
28,0,43,1,0,0,/videos/348702049,"Wild game | David Payne | 2019",1313,2019-07-17T21:57:43+00:00,Array,23,72,923,25871,36788,23
28,0,46,5,0,0,/videos/365257078,"SH_T_HAPPENS | Michaela Mihalyi, David Štumpf  | 2019",788,2019-10-09T11:42:22+00:00,Array,32,77,570,15967,22090,27
28,0,1150,8,0,0,/videos/299081763,"Plus one - Official trailer",73,2018-11-05T20:39:25+00:00,Array,500,73,40,1142,2067,23
26,0,37,14,0,0,/videos/310529778,"Hopus | Lucie Kokoliová | 2019",211,2019-01-10T10:47:09+00:00,Array,23,80,156,4059,5486,22
25,0,33,5,0,0,/videos/417971195,"Až do Rána Bieleho",385,2020-05-13T10:08:50+00:00,Array,18,74,126,3151,9635,13
24,3,41,7,0,0,/videos/364779169,"S p a c e s | Nora Štrbová | 2019",479,2019-10-07T13:06:18+00:00,Array,26,74,327,7862,11517,22
23,0,43,10,0,0,/videos/375860070,"Forget Me Not | Adela Križovenská | 2019",414,2019-11-27T08:54:47+00:00,Array,22,73,278,6401,9522,19
23,0,39,2,0,0,/videos/375886139,"Představení kandidátů na děkana - Andrea Slováková",2907,2019-11-27T11:29:38+00:00,Array,19,33,555,12775,66861,16
21,0,37,3,0,0,/videos/337725212,"The Concrete Jungle | Marie Urbánková | 2019",455,2019-05-22T08:48:30+00:00,Array,22,64,294,6181,9575,20
19,0,36,10,0,0,/videos/323302146,"Home sleep home - Official trailer",34,2019-03-12T21:33:03+00:00,Array,17,86,22,425,661,12
18,0,31,3,0,0,/videos/364045912,"Way of Sylvie | Verica Pospíšilová Kordić | 2019",749,2019-10-03T12:34:30+00:00,Array,22,63,445,8027,13482,18
18,0,34,2,0,0,/videos/359047323,"About-hair | Josefina Lubojacki | 2019",1020,2019-09-10T12:58:20+00:00,Array,14,45,441,7940,18367,11
15,0,28,2,0,0,/videos/383745894,"Afternoon Tea | Andrea Szelesová | 2019",132,2020-01-09T13:09:32+00:00,Array,14,81,100,1514,1994,12
15,0,24,1,0,0,/videos/364750441,"Wild Beasts | Marta Prokopová & Michal Blaško | 2019",520,2019-10-07T10:25:23+00:00,Array,15,88,399,5990,7814,13
14,0,19,3,0,0,/videos/325174449,"The Kite | Martin Smatana | 2019",787,2019-03-19T10:51:50+00:00,Array,10,81,638,8940,11031,10
14,0,17,0,0,0,/videos/417960579,"Fake-up Fix 1/3",180,2020-05-13T09:29:39+00:00,Array,11,19,15,214,2520,9
