# ----------------------------------------
# Všechny údaje o webu
# Přehled publika
# 20200501-20200531
# ----------------------------------------

Index hodiny,Časové období,Segment,Uživatelé
000035,1.5.2020 - 31.5.2020,Všichni uživatelé,0
000035,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000035,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000035,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,0
000036,1.5.2020 - 31.5.2020,Všichni uživatelé,3
000036,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000036,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,1
000036,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,2
000037,1.5.2020 - 31.5.2020,Všichni uživatelé,1
000037,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000037,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000037,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,0
000038,1.5.2020 - 31.5.2020,Všichni uživatelé,2
000038,1.5.2020 - 31.5.2020,Mobilní návštěvnost,1
000038,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,2
000038,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,2
000039,1.5.2020 - 31.5.2020,Všichni uživatelé,0
000039,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000039,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000039,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,0
000040,1.5.2020 - 31.5.2020,Všichni uživatelé,0
000040,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000040,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000040,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,0
000041,1.5.2020 - 31.5.2020,Všichni uživatelé,0
000041,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000041,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000041,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,0
000042,1.5.2020 - 31.5.2020,Všichni uživatelé,2
000042,1.5.2020 - 31.5.2020,Mobilní návštěvnost,1
000042,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000042,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,1
000043,1.5.2020 - 31.5.2020,Všichni uživatelé,1
000043,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000043,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000043,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,1
